"id","code"
"452bfed3-7699-4373-bed5-f974838c7695","10102/220515/10052/1"
"cba347ae-8ade-4ab4-aa75-306401b97c99","10001/100009"
"bbb63f66-b212-462a-8369-afc58ed7860c","10001/160611/20003/3"
"263eadfa-a653-4e9f-b21d-9f5c77fa42ae","10002/190320/10005/2"
"75b25527-c734-4877-adde-1568e8713956","10005/160321/10050/2"
"a157e904-ffc2-4016-953d-e6716c7b333e","10005/230712/20038/4"
"0f0a20b5-40c1-41eb-adfe-d48971193a74","10009/011119/20060/1"
"531f6d05-c434-4679-babd-acd66c187224","10009/011212/10043/4"
"59d8ef3e-281c-485d-88e5-5cba808a9325","10009/091210/10012/10"
"40344d64-f2fc-47a5-9bbb-9b3027e90972","10009/131210/10014/8"
"61e30ffd-629b-4827-bd51-045a6f11de1c","10104/260122/20027/1"
"e5918aa6-153c-4bb0-af20-55b6e90481aa","10005/181213/10047/4"
"547a897d-4cdc-491c-a48c-57b2d9cf5ebd","10005/230712/10035/3"
"24482034-256c-4076-a14d-07d3586ce5dd","10005/060917/10048/2"
"a8332ab7-19a6-4128-b0ac-022955f1c93f","10001/100010"
"a393e373-5bad-4c2f-a37a-657c10e45a4a","10012/161112/10052/5"
"b76eff37-84c1-40aa-a0d8-3379ce61b3d1","10009/231210/10024/7"
"6d7474e0-d565-4c92-8001-83a673c5ce2d","10012/230921/10051/1"
"e41a64ec-b8d6-4d7d-a47b-b712e3d09b19","10013/010621/20156/3"
"2764d9ac-b692-44e0-9cc8-5b1e8f46c3cb","10009/061210/10011/6"
"50417519-6a36-46f6-9a74-aae29a2176d1","10009/080217/20055/5"
"6a6b820b-305f-414e-a75e-b42ac91a676d","10009/120412/10040/2"
"477530a4-9c14-4fd5-8630-b65ba5e67a68","10009/161210/10019/2"
"6ec1e243-082d-4f60-8409-e0316e08347c","10009/271210/20028/2"
"81ee87e2-fa52-45bf-aaa6-99552c010391","10009/161017/10056/1"
"3ae79d13-8704-41fa-a30e-af15fc6558db","10009/201210/10020/4"
"64bd798d-c67f-4cc7-a535-efa22f8b3173","10009/201210/10021/1"
"beab299c-45ac-410d-956a-6f5ac1cdf288","10009/201210/10023/1"
"659e975d-d1ba-4757-8ce1-201b27ae17d3","10012/291210/10038/2"
"031a87d6-eb2b-4239-a686-5682800468d2","10012/291210/20037/6"
"de55dd67-4e94-48bc-9308-5ec87ad6ca42","10012/200711/10044/3"
"af3da57e-bb63-45a7-b6a1-c8434d0bdd7d","10012/311012/10050/4"
"5790e183-3acc-4da7-aa03-95b7d8b474f4","10009/221110/20009/1"
"7b964fdf-50a7-4a81-8f49-36fb01811d2a","10009/091210/10013/3"
"9cf401ee-08ca-441f-b529-229fe346e2ba","10009/271210/20029/1"
"5a475388-1a82-43e8-ac8c-bcce7d3d9f37","10012/270111/20041/4"
"148d0bdc-ec95-4f3b-b201-b01ed545fe52","10012/290411/20048/2"
"6777af36-4675-4288-97df-2452e3bf4cd7","10012/290711/10046/5"
"6f8bd1c4-84af-4a38-803e-3667ae7a546f","10012/140111/10039/4"
"12c8efc8-6ae5-46bb-a0b9-db9fc5c3b382","10013/020420/10152/4"
"ade330e7-762f-4faa-b91a-f78a2841ca18","10001/220721/20006/1"
"f5aab938-c1fc-4575-ae5c-8b0a9ea82a0f","10013/070720/20153/1"
"efe8b14d-1344-45d6-b431-8e9bed1dca9c","10013/100120/10151/1"
"ee289f62-c1b5-423d-94c9-124467ce8d49","10013/130718/10147/1"
"4d05dd5e-1bd4-41af-b3ea-de80015046e3","10013/131015/10138/4"
"5e9c0d3a-2344-420a-874f-daf05d1456df","10013/200111/10004/4"
"1d91adc6-473b-4880-a655-9c50bb0b160f","10013/200111/10014/5"
"69f56d3a-a227-4b13-9fbf-075844f41076","10013/200111/10045/5"
"179b85f0-269f-425d-80c8-d7412471bb5c","10108/080819/10030/1"
"07bc757a-7212-4909-b71b-86e678488d6b","10703/040419/20061/2"
"2594a04d-9385-44c2-a68e-48b574f9e82b","10013/030713/10126/6"
"03d17411-3e1e-453d-b8cc-d818cb7a2c31","10001/311210/10001/7"
"2cadaf26-70f3-44ca-b85d-669b28f6ed00","10209/100037"
"8997bbc4-b81f-4045-b147-cd1dc8c38d55","10210/161117/10121/2"
"80da267c-bbf5-4712-ac76-8c6b7b7a082e","10005/230712/10039/2"
"9e9d2f40-152f-4e1c-a2c2-5c14fa215660","10013/200111/10110/11"
"1ca64b89-8dad-40cf-9ee9-cf294d569d65","10013/200111/10089/4"
"ad695787-fd9f-47af-baa2-d3e8a689def6","10013/200111/10109/8"
"59556e01-dc31-43f7-9f2c-db2ddb3d4739","10005/230712/20037/2"
"4bca84f3-6431-46b5-a802-40d2c2f79f32","10206/311210/10030/3"
"f525c486-ea1f-49ea-955d-6361b2c00551","10005/221217/10049/3"
"12d49bc6-7e64-4507-8795-39c3639bd8db","10005/230712/10028/3"
"5b11f43b-4135-419f-bd6a-7455b485638c","10013/151112/20158/4"
"856f3000-c645-4c2a-8ecc-f34ebc04fe3e","10108/141113/10026/2"
"7813b14a-032f-4018-a766-e9cb89fee496","10013/200111/10099/7"
"7135ddab-dfdd-4332-85ea-ba670f165c94","10013/200912/10122/2"
"cea07755-0e20-47b9-b350-03e0546e6ea7","10013/200111/10101/5"
"3bfd9232-f4f3-4a19-aec2-f2d27e9d6293","10013/200111/10107/9"
"817a7132-93ec-4dfa-8fcb-3bb9ebbdadf7","10101/021210/10083/5"
"c605c1b5-0641-4df8-ac42-a6b7096df65e","10101/070420/10100/1"
"23168897-28c9-473e-93ca-489c84e2a0c8","10802/710004"
"bf99bdfd-2a00-439c-86f4-d2715cb0826c","10009/011110/10004/4"
"8c8de9af-3c71-4050-99f5-06f6d105238a","10013/200111/20091/9"
"ce58dd23-5a40-4fcb-b459-9b2f6397b057","10013/250817/20143/4"
"dbe9e75d-d08f-40f8-b347-bc0780efb975","10013/300414/10132/3"
"aa48f34c-87bf-4029-b67f-2097215b487e","10013/200111/10089/5"
"aae7a787-4520-4057-9407-485b881c2333","10013/200111/10109/7"
"64493b4f-11f8-4448-b413-f14944eb229a","10013/190619/10149/3"
"8700f19e-14d9-413e-bf9d-e1c7e961e62e","10317/280916/10026/1"
"e14980f3-3947-43bf-ba06-47b06cb119ae","10404/281210/10083/6"
"fa2dde64-c783-4443-822f-fafa142f6aeb","10408/150421/20147/01"
"991f8fed-b350-4c8e-862f-614c57bb8971","10013/170914/10137/4"
"be12d7b7-1931-4c3c-93ce-f6bb2b6cc1d8","10013/290518/10146/4"
"0be33a40-ae3b-44bf-a1e4-940eff4ce874","10101/151210/20066/4"
"02c38dce-7510-47ca-ab2f-6ca0dfb4045e","10013/200519/10148/1"
"8b40e000-1c46-443e-bb4c-01ba83acb99c","10013/270215/10159/5"
"0b5d26cf-be16-4a43-a4cb-3771e260fb82","10108/151210/10022/1"
"0d1b6428-a9b9-4260-8cb1-46eb6f20a880","10013/300921/10160/1"
"7349e3c4-4e1f-4f8a-85b1-82e153299aa6","10101/081210/20062/5"
"92256a9b-6cf8-4299-8738-d923832cfd7e","10102/011010/10036/1"
"4372c130-de0b-4d56-a9ee-f7d77df7e851","10413/081210/20037/7"
"6f4b6877-0da0-4398-8a80-b8cd76e88068","10009/070716/10053/2"
"ae19ebfd-209b-46b4-8515-11aba0bc3419","10013/200111/10112/13"
"b8339d8f-661c-4e5c-9204-3fed40fec1bf","10014/021210/10042/4"
"1b65cf85-2928-4006-8081-e16a455fa161","10103/150514/20023/3"
"b196e0fb-2756-4127-89a5-592a67c2ce20","10103/171210/10016/3"
"e5add9d2-1da2-41e5-a24a-a674e0b5bac1","10108/181210/10020/3"
"d2ebcd66-6498-4f83-b56c-198086b51576","10103/060313/10022/1"
"5cd99b3a-dbf4-4752-b844-58c10b3ecd61","10009/081211/10037/2"
"dc4f8094-715e-45eb-8054-ca0c1e25d7ec","10103/281210/10038/1"
"f15ca90f-c684-4454-94c6-9f769a65a5fc","10717/031210/10006/5"
"5a799211-3b12-41cb-ae2e-0dcc29f34054","10717/031210/10006/7"
"ee9f296d-81fb-4150-a6a5-5fcbce1aaa0f","10014/151110/20023/3"
"ef1b2b27-ccaa-428c-bb57-d46728f57afc","10014/161210/20029/3"
"1d7abf1a-bb3f-46b1-ba06-5328d9d175aa","10103/151110/10034/3"
"30165136-2b91-4a1b-b063-186a3e16abe4","10103/281210/20048/5"
"73edd06c-fc6f-4bc7-be56-8e91a529fd07","10014/241011/20046/7"
"c2d2594e-1f04-4771-b740-7903188aec8c","10104/231110/20023/2"
"6f141b06-a186-4f25-9b8d-8d1165acdd79","10104/291019/20021/1"
"6db0b453-165d-4fb5-b760-c890720919cc","10108/251210/10017/3"
"dc3fe755-c6bd-4bb5-a0a1-145abb1e548e","10009/110620/20061/1"
"5076ad0c-d9ea-4d44-846f-9b141727d393","10009/111019/20059/1"
"0eca60be-e13a-423d-a6b7-46d9dd7c9938","10014/241110/10025/3"
"19d61abe-7510-41d5-8b5a-5d8db419243d","10106/221210/20041/1"
"6bcfba43-d1de-42a5-bbe9-7b8eabe225d6","10311/261212/20037/3"
"dde578b7-0bc2-463f-a1c7-697d14224a6f","10408/090621/20148/01"
"c3c756d2-4b8c-4231-b701-5c24f370b07f","10503/091210/10009/3"
"4b273d3d-b2a9-45b5-8b4e-38c611061e4c","10106/180211/10054/1"
"c9df9294-7467-40b4-bf0b-121a205bb0aa","10702/301210/20152/3"
"54afd083-b5b6-434a-b540-152bcdd0bb0e","10014/271210/20047/3"
"c4f51e5d-07b5-485e-b7c3-37bdb726f4b6","10009/151210/10017/4"
"0e3469ef-5122-4c81-9814-aa033f97624d","10101/050411/10079/6"
"24b7fe79-45ac-4282-a073-990609afbc51","10101/291210/10071/2"
"af6caa24-ad45-4ca8-bcc9-1466f0c24d12","10113/171210/10024/1"
"a876e73b-5223-43fe-8848-d2a93d9c69f5","10101/121110/10088/5"
"a12ed293-c063-4a59-a314-3fc78bad83de","10716/290915/10051/3"
"8e34b53d-8cb5-4fef-b9a1-f380bd75cace","10101/031210/20060/5"
"dfa50c1a-e637-49c5-a189-140756717729","10101/121121/10101/2"
"97ab87a9-9aaf-4197-a1b5-04caa59015c3","10009/131210/10014/7"
"27068080-5891-41d7-b535-acda94b55eb7","10113/171210/10034/3"
"14857871-65d0-4508-a6b5-5e930f83d307","10502/081210/20043/4"
"bce7a8a7-a517-40c4-9cce-17fbb71bc880","10009/300810/10003/3"
"0ae8921e-eb0f-494a-a846-8bd7666d01eb","10013/200111/10107/8"
"1169ff1e-a2e2-4011-9bf1-608a9801edfa","10101/291210/10072/3"
"f6517ec0-6563-4f5f-8cd6-7d574c2b9710","10012/240111/20040/3"
"d15af46e-f822-4eea-bfe7-5ac9df5b6554","10009/231210/10025/2"
"58c80e40-9b43-4d32-8654-7ffd7c5e0db1","10012/270412/20049/2"
"ea422e97-4886-4b2e-813b-28783746193e","10108/260913/20025/1"
"83bc24f2-32f4-4b50-82c7-a1e4f0042d7a","10116/201010/10005/1"
"cfa7a76c-b085-4e41-be7d-a526fb1cd49e","10012/080411/10043/4"
"b3bfe6b3-db69-489d-8df1-017c02e8eaf3","10116/211210/10001/1"
"74ba35c1-f831-4a93-9ebd-6a4011b2c425","10309/070915/10144/6"
"abc9b6c8-9443-448f-9228-03408fb4b318","10719/080520/20028/1"
"400dd5db-1071-4665-a576-824fffab39d4","10013/120711/10102/4"
"cc1e3631-cb1c-4df5-b76a-b221236aa62a","10013/031120/10154/1"
"43672426-da2b-4116-b9d9-033a355d5022","10104/201210/10012/15"
"1f7c5604-31c9-4d44-bbe4-b76ba7413809","10309/100113/10137/5"
"4fadb531-c457-4d52-8e93-d11cec726a25","10104/201221/10014/6"
"62cc2c15-5ce6-4c80-b8de-e6b233b4ccf0","10129/151112/20048/3"
"a62012e4-163c-44f8-9968-def1771282b0","10013/090617/20142/5"
"3785f5e5-f546-42c9-856f-7c0bbae91dad","10102/091210/10039/3"
"9f8b6f4f-2651-41c7-9241-5413f4b97419","10103/060313/10022/2"
"ad0802ae-8ccd-4c98-ba4c-c6cfb9498b43","10104/070616/10020/3"
"9c20ec87-0a57-4201-bdbf-2cfed844ed8f","10106/100913/10053/7"
"f94ac80a-6e51-472e-86ee-0228d00e3bd6","10404/220916/10111/02"
"c5e478e0-09cc-4b27-8ee5-799d250a04b9","10126/100079"
"61db6c5e-21d2-4949-9e22-55610223f0a8","10210/161215/10119/4"
"c09b462c-80e3-4766-a86e-5d84cc392ae5","10309/180211/20130/4"
"e09e4c42-bd34-4a55-afdb-f6f1cd9c47e4","10104/201210/10014/5"
"b34dc834-2685-4272-b548-a50aa580f939","10207/100017"
"a7b9f64c-ac68-4166-9e11-d55a50baa135","10209/100812/10044/2"
"da579234-a576-4492-a9c5-40751b2df932","10104/110713/10022/1"
"e02fe805-32b9-4d89-93e5-5de457d80a5d","10104/250613/10016/3"
"705facc4-c52d-4cee-93e2-4da8d63caebb","10013/180714/10135/11"
"843014a6-fbda-4180-b09a-44d82d93626c","10207/281221/10031/1"
"b4402616-bd8a-4789-be70-8b10ee15d1f5","10502/201210/20060/7"
